Iteration,NumElements,InsertionSortTime,MergeSortTime,HeapSortTime,QuickSortInPlaceTime,QuickSortModifiedTime
1,10,1,0,2,0,0
1,100,0,0,0,0,0
1,1000,5,0,0,1,1
1,1500,7,0,0,2,2
1,2000,13,0,1,3,3
1,2500,21,0,1,4,4
1,4000,50,1,2,7,6
1,4500,63,3,5,9,7
1,5000,78,1,3,8,8
1,7500,175,1,5,12,23
1,10000,348,2,8,21,18
1,15000,713,3,11,25,24
1,20000,1247,5,15,42,31
1,25000,1939,6,19,39,39
1,30000,2837,7,24,47,47
1,35000,3804,8,28,54,54
1,40000,4991,15,33,63,62
1,45000,6282,11,37,69,70
1,50000,7896,13,46,78,79
1,100000,31261,27,88,154,152
2,10,0,0,0,0,0
2,100,0,0,0,0,0
2,1000,3,0,0,1,1
2,1500,7,0,0,2,2
2,2000,13,0,1,3,3
2,2500,19,0,1,4,4
2,4000,51,0,2,7,7
2,4500,64,2,4,8,8
2,5000,79,1,3,8,9
2,7500,175,1,5,12,13
2,10000,312,2,7,16,16
2,15000,691,6,11,24,33
2,20000,1247,9,16,39,31
2,25000,1948,6,19,39,39
2,30000,2770,7,24,47,47
2,35000,3809,8,28,54,54
2,40000,4970,9,34,61,62
2,45000,6232,11,37,70,69
2,50000,7840,12,41,77,77
2,100000,31011,26,97,153,153
3,10,0,0,0,0,0
3,100,0,0,0,0,0
3,1000,3,0,0,1,1
3,1500,7,0,0,2,2
3,2000,12,0,1,3,3
3,2500,19,0,1,4,4
3,4000,51,0,2,6,7
3,4500,64,1,3,7,10
3,5000,80,2,5,9,8
3,7500,176,1,5,13,23
3,10000,310,2,7,16,16
3,15000,704,3,11,23,24
3,20000,1233,5,15,31,31
3,25000,1949,6,19,39,39
3,30000,2791,7,24,47,47
3,35000,3781,8,28,54,62
3,40000,4962,10,32,63,62
3,45000,6288,11,37,69,70
3,50000,7772,12,41,77,77
3,100000,31412,27,89,153,153
4,10,0,0,0,0,0
4,100,0,0,0,0,0
4,1000,3,0,0,1,1
4,1500,7,0,0,2,2
4,2000,12,0,1,3,3
4,2500,19,0,1,4,4
4,4000,51,0,2,7,6
4,4500,62,1,2,7,7
4,5000,78,1,3,8,8
4,7500,175,1,5,12,12
4,10000,309,2,7,16,16
4,15000,699,3,11,24,24
4,20000,1233,9,17,31,43
4,25000,1946,6,20,39,39
4,30000,2789,7,25,47,47
4,35000,3770,8,28,54,54
4,40000,4986,9,34,62,71
4,45000,6340,11,37,70,70
4,50000,7720,12,42,76,84
4,100000,31746,26,91,153,153
5,10,0,0,0,0,0
5,100,0,0,0,0,0
5,1000,3,0,0,1,1
5,1500,7,0,0,2,2
5,2000,12,0,1,3,3
5,2500,19,0,1,4,4
5,4000,50,0,2,6,6
5,4500,63,1,2,8,7
5,5000,78,1,3,8,8
5,7500,175,1,5,12,12
5,10000,306,6,10,16,16
5,15000,697,3,11,24,24
5,20000,1237,4,15,32,31
5,25000,1928,6,19,39,46
5,30000,2799,7,24,46,47
5,35000,3817,8,28,54,54
5,40000,5071,10,33,65,62
5,45000,6301,11,37,70,69
5,50000,8066,12,41,77,77
5,100000,31088,27,87,153,153
