Iteration,NumElements,InsertionSortTime,MergeSortTime,HeapSortTime,QuickSortInPlaceTime,QuickSortModifiedTime
1,10,1,0,5,0,0
1,100,0,0,0,0,0
1,1000,12,0,2,2,2
1,1500,23,0,3,3,3
1,2000,42,0,2,5,5
1,2500,61,1,3,6,6
1,4000,147,1,5,10,9
1,4500,179,1,7,11,11
1,5000,216,2,8,13,11
1,7500,488,3,11,18,18
1,10000,868,4,16,24,24
1,15000,1935,6,26,35,35
1,20000,3414,10,40,46,47
1,25000,5313,12,46,57,58
1,30000,7810,14,57,68,68
1,35000,10567,17,67,79,78
1,40000,13571,19,77,89,89
1,45000,17269,22,89,99,100
1,50000,21309,24,100,110,111
1,100000,85344,53,201,217,219
2,10,0,0,0,0,0
2,100,0,0,0,0,0
2,1000,8,0,1,2,2
2,1500,21,0,1,3,4
2,2000,38,0,2,5,5
2,2500,59,1,3,6,6
2,4000,160,1,5,10,10
2,4500,182,1,6,11,11
2,5000,221,2,7,12,12
2,7500,491,3,12,19,18
2,10000,896,4,16,23,24
2,15000,1915,7,26,35,35
2,20000,3411,9,36,46,46
2,25000,5531,12,46,57,64
2,30000,8234,15,59,70,71
2,35000,10641,17,68,81,79
2,40000,13568,19,77,89,95
2,45000,17376,22,88,100,99
2,50000,22068,24,99,109,113
2,100000,89319,54,214,221,232
3,10,0,0,0,0,0
3,100,0,0,0,0,0
3,1000,10,0,1,3,2
3,1500,26,0,2,4,6
3,2000,48,0,2,5,6
3,2500,73,1,3,6,6
3,4000,159,1,6,13,10
3,4500,218,2,8,12,14
3,5000,243,2,7,13,14
3,7500,569,3,13,19,19
3,10000,925,4,18,25,25
3,15000,2158,7,27,35,34
3,20000,3576,9,35,45,45
3,25000,5372,12,45,57,56
3,30000,7713,14,55,66,68
3,35000,10574,17,64,76,77
3,40000,14373,19,74,87,88
3,45000,17217,22,84,98,99
3,50000,22236,27,110,119,113
3,100000,87674,53,198,214,216
4,10,0,0,0,0,0
4,100,0,0,0,0,0
4,1000,9,0,1,2,2
4,1500,21,0,1,3,4
4,2000,36,0,3,5,5
4,2500,57,0,3,6,6
4,4000,146,1,5,10,10
4,4500,173,1,6,11,12
4,5000,216,2,7,12,12
4,7500,493,3,12,18,18
4,10000,868,5,19,23,25
4,15000,2112,7,28,37,37
4,20000,3922,9,44,48,50
4,25000,5825,12,46,57,57
4,30000,7740,14,56,68,68
4,35000,10573,16,69,113,83
4,40000,13714,19,78,90,88
4,45000,17571,25,94,109,117
4,50000,22368,25,97,108,110
4,100000,88354,52,217,255,222
5,10,0,0,0,0,0
5,100,0,0,0,0,0
5,1000,9,0,1,2,2
5,1500,21,0,1,3,3
5,2000,36,0,2,5,5
5,2500,56,0,3,6,6
5,4000,140,1,5,10,9
5,4500,177,1,6,11,12
5,5000,211,2,7,12,12
5,7500,487,3,11,19,18
5,10000,845,4,16,23,24
5,15000,1903,7,27,35,35
5,20000,3381,9,36,45,46
5,25000,5290,11,46,56,56
5,30000,7734,14,55,66,67
5,35000,10367,17,64,77,78
5,40000,14960,22,84,96,94
5,45000,17546,22,83,98,98
5,50000,21344,25,95,107,109
5,100000,85348,52,202,216,216
